individual_id,year,month,day,date,decimal_longitude,decimal_latitude,hour,prev_lat,prev_lon,distance_km,delta_lat,delta_lon,angle_degrees,date_format
MAPE-dtsetBirdLife751-depid612-RAATD,2002,5,26,2002-05-26 22:16:00,-30.4443919657186,-49.5310782726507,22,-49.7766176852023,-30.9317142992916,44.453664177200075,0.24553941255159373,0.4873223335729975,26.7414429478434,2002-05-26T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,5,27,2002-05-27 22:16:00,-30.1566761093137,-49.4409457896922,22,-49.5310782726507,-30.4443919657186,23.073710630098468,0.09013248295850218,0.28771585640490116,17.394160742369703,2002-05-27T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,5,28,2002-05-28 22:16:00,-30.0069407599407,-49.4151398496217,22,-49.4409457896922,-30.1566761093137,11.202806705758082,0.025805940070497968,0.1497353493729996,9.778505374307143,2002-05-28T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,5,29,2002-05-29 22:16:00,-29.8455128024048,-49.5817776261269,22,-49.4151398496217,-30.0069407599407,21.8915753108545,-0.16663777650519762,0.16142795753589922,-45.909804100475625,2002-05-29T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,5,30,2002-05-30 22:16:00,-29.5244376567824,-49.8040156536726,22,-49.5817776261269,-29.8455128024048,33.823744673807624,-0.22223802754569988,0.3210751456224017,-34.6897530163269,2002-05-30T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,5,31,2002-05-31 22:16:00,-29.1818426363403,-50.2076306573556,22,-49.8040156536726,-29.5244376567824,51.12393962321321,-0.40361500368300085,0.34259502044210066,-49.67485784861604,2002-05-31T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,1,2002-06-01 22:16:00,-29.2920640415376,-50.5866927109999,22,-50.2076306573556,-29.1818426363403,42.86772641480879,-0.37906205364429724,-0.11022140519730073,-106.21305939806928,2002-06-01T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,2,2002-06-02 22:16:00,-29.4987196835456,-50.8162778869115,22,-50.5866927109999,-29.2920640415376,29.385934182586354,-0.22958517591160188,-0.20665564200799835,-131.9912085060559,2002-06-02T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,3,2002-06-03 22:16:00,-29.6264561165465,-50.8673279328125,22,-50.8162778869115,-29.4987196835456,10.614479254153709,-0.051050045901000374,-0.12773643300090143,-158.21581032571981,2002-06-03T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,4,2002-06-04 22:16:00,-29.8236841554279,-50.9041878928395,22,-50.8673279328125,-29.6264561165465,14.429753161192977,-0.03685996002700165,-0.19722803888140206,-169.41410855718058,2002-06-04T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,5,2002-06-05 22:16:00,-29.7698549676199,-51.0242512248323,22,-50.9041878928395,-29.8236841554279,13.87244913909904,-0.12006333199279595,0.05382918780800239,-65.85140074374334,2002-06-05T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,6,2002-06-06 22:16:00,-29.9728500664832,-50.7844880634333,22,-51.0242512248323,-29.7698549676199,30.222389162432368,0.23976316139899723,-0.20299509886330114,130.25286750511984,2002-06-06T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,7,2002-06-07 22:16:00,-30.1243336073003,-50.6225176701693,22,-50.7844880634333,-29.9728500664832,20.932656946663933,0.1619703932639993,-0.15148354081710025,133.08383850204828,2002-06-07T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,8,2002-06-08 22:16:00,-30.4137530369116,-50.5682695787786,22,-50.6225176701693,-30.1243336073003,21.300816399788168,0.05424809139070419,-0.28941942961129996,169.3837970444915,2002-06-08T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,9,2002-06-09 22:16:00,-30.8033838824429,-50.6006564485551,22,-50.5682695787786,-30.4137530369116,27.743450891119675,-0.03238686977650218,-0.38963084553130045,-175.24838722500743,2002-06-09T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,10,2002-06-10 22:16:00,-30.8499803546858,-50.7849059675981,22,-50.6006564485551,-30.8033838824429,20.748861583995772,-0.18424951904300002,-0.04659647224289998,-104.19245266738236,2002-06-10T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,11,2002-06-11 22:16:00,-30.7114181591365,-50.8262167068239,22,-50.7849059675981,-30.8499803546858,10.765938896044238,-0.041310739225799864,0.1385621955493015,-16.60134989411962,2002-06-11T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,12,2002-06-12 22:16:00,-30.7323741632241,-50.9694296430109,22,-50.8262167068239,-30.7114181591365,15.992225576083309,-0.14321293618699826,-0.020956004087601343,-98.32487221613431,2002-06-12T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,13,2002-06-13 22:16:00,-30.2281008364741,-51.0537893443047,22,-50.9694296430109,-30.7323741632241,36.50452806648732,-0.0843597012937991,0.5042733267500026,-9.49704752167146,2002-06-13T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,14,2002-06-14 22:16:00,-30.0696482898439,-50.8863600235868,22,-51.0537893443047,-30.2281008364741,21.672723007270815,0.1674293207178934,0.1584525466301976,46.57787618825569,2002-06-14T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,15,2002-06-15 22:16:00,-30.1112068396623,-50.573210588357,22,-50.8863600235868,-30.0696482898439,34.943268428685435,0.31314943522980343,-0.04155854981840079,97.55963776040053,2002-06-15T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,16,2002-06-16 22:16:00,-30.1036494727752,-50.3575590980084,22,-50.573210588357,-30.1112068396623,23.985317110642562,0.21565149034859843,0.00755736688710229,87.9929278587531,2002-06-16T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,17,2002-06-17 22:16:00,-29.8985570663293,-50.3912872007421,22,-50.3575590980084,-30.1036494727752,15.020193478139069,-0.033728102733697085,0.20509240644589966,-9.338883477188034,2002-06-17T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,18,2002-06-18 22:16:00,-29.9674169831675,-50.2482737425872,22,-50.3912872007421,-29.8985570663293,16.6369159744222,0.14301345815489697,-0.06885991683819981,115.71046931920367,2002-06-18T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,19,2002-06-19 22:16:00,-30.0130572453745,-50.0226613406108,22,-50.2482737425872,-29.9674169831675,25.296970727688866,0.22561240197639876,-0.04564026220700157,101.43631318023738,2002-06-19T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,20,2002-06-20 22:16:00,-30.084464318749,-49.8983134625527,22,-50.0226613406108,-30.0130572453745,14.740197301044867,0.12434787805810288,-0.07140707337449825,119.86670237401431,2002-06-20T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,21,2002-06-21 22:16:00,-30.3824497243328,-49.6920963216329,22,-49.8983134625527,-30.084464318749,31.357381480423342,0.20621714091979726,-0.2979854055838018,145.3153043110481,2002-06-21T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,6,22,2002-06-22 22:16:00,-30.3714183405243,-49.4485358703092,22,-49.6920963216329,-30.3824497243328,27.09436672124817,0.2435604513237024,0.01103138380850055,87.40672153846222,2002-06-22T00:00:00
